t	v
1720.0	J30
1724.0	J30
1728.0	J30
1732.0	J30
1736.0	J30
1740.0	J30
1744.0	J30
1748.0	J30
1752.0	J30
1756.0	J30
1760.0	J30
1764.0	J30
1768.0	J30
1772.0	J30
1776.0	J30
1780.0	J30
1784.0	J30
1788.0	J30
1792.0	J30
1796.0	J30
1800.0	J30
1804.0	J30
1808.0	J30
1812.0	J30
1816.0	J30
1820.0	J30
1824.0	J30
1828.0	J30
1832.0	J30
1836.0	J30
1840.0	J30
1844.0	J30
1848.0	J30
1852.0	J30
1856.0	J30
1860.0	J30
1864.0	J30
1868.0	J30
1872.0	J30
1876.0	J30
1880.0	J30
1884.0	J30
1888.0	J30
1892.0	J30
1896.0	J30
1900.0	J30
1904.0	J30
1908.0	J30
1912.0	J30
1916.0	J30
1920.0	J30
1924.0	J30
1928.0	J30
1932.0	J30
1936.0	J30
1940.0	J30
1944.0	J30
1948.0	J30
1952.0	J30
1956.0	J30
1960.0	J30
1964.0	J30
1968.0	J30
1972.0	J30
1976.0	J30
1980.0	J30
1984.0	J30
1988.0	J30
1992.0	J30
1996.0	J30
2000.0	J30
2004.0	J30
2008.0	J30
2012.0	J30
2016.0	J30
2020.0	J30
2024.0	J30
2028.0	J30
2032.0	J30
2036.0	J30
2040.0	J30
2044.0	J30
2048.0	J30
2052.0	J30
2056.0	J30
2060.0	J30
2064.0	J30
2068.0	J30
2072.0	J30
2076.0	J30
2080.0	J30
2084.0	J30
2088.0	J30
2092.0	J30
2096.0	J30
2100.0	J30
2104.0	J30
2108.0	J30
2112.0	J30
2116.0	J30
2120.0	J30
2124.0	J30
2128.0	J30
2132.0	J30
2136.0	J30
2140.0	J30
2144.0	J30
2148.0	J30
2152.0	J30
2156.0	J30
2160.0	J30
2164.0	J30
2168.0	J30
2172.0	J30
2176.0	J30
2180.0	J30
2184.0	J30
2188.0	J30
2192.0	J30
2196.0	J30
2200.0	J30
2204.0	J30
2208.0	J30
2212.0	J30
2216.0	J30
2220.0	J30
2224.0	J30
2228.0	J30
2232.0	J30
2236.0	J30
2240.0	J30
2244.0	J30
2248.0	J30
2252.0	J30
2256.0	J30
2260.0	J30
2264.0	J30
2268.0	J30
2272.0	J30
2276.0	J30
2280.0	J30
2284.0	J30
2288.0	J30
2292.0	J30
2296.0	J30
2300.0	J30
2304.0	J30
2308.0	J30
2312.0	J30
2316.0	J30
2320.0	J30
2324.0	J30
2328.0	J30
2332.0	J30
2336.0	J30
2340.0	J30
2344.0	J30
2348.0	J30
2352.0	J30
2356.0	J30
2360.0	J30
2364.0	J30
2368.0	J30
2372.0	J30
2376.0	J30
2380.0	J30
2384.0	J30
2388.0	J30
2392.0	J30
2396.0	J30
2400.0	J30
2404.0	J30
2408.0	J30
2412.0	J30
2416.0	J30
2420.0	J30
2424.0	J30
2428.0	J30
2432.0	J30
2436.0	J30
2440.0	J30
2444.0	J30
2448.0	J30
2452.0	J30
2456.0	J30
2460.0	J30
2464.0	J30
2468.0	J30
2472.0	J30
2476.0	J30
2480.0	J30
2484.0	J30
2488.0	J30
2492.0	J30
2496.0	J30
2500.0	J30
2504.0	J30
2508.0	J30
2512.0	J30
2516.0	J30
2520.0	J30
2524.0	J30
2528.0	J30
2532.0	J30
2536.0	J30
2540.0	J30
2544.0	J30
2548.0	J30
2552.0	J30
2556.0	J30
2560.0	J30
2564.0	J30
2568.0	J30
2572.0	J30
2576.0	J30
2580.0	J30
2584.0	J30
2588.0	J30
2592.0	J30
2596.0	J30
2600.0	J30
2604.0	J30
2608.0	J30
2612.0	J30
2616.0	J30
2620.0	J30
2624.0	J30
2628.0	J30
2632.0	J30
2636.0	J30
2640.0	J30
2644.0	J30
2648.0	J30
2652.0	J30
2656.0	J30
2660.0	J30
2664.0	J30
2668.0	J30
2672.0	J30
2676.0	J30
2680.0	J30
2684.0	J30
2688.0	J30
2692.0	J30
2696.0	J30
2700.0	J30
2704.0	J30
2708.0	J30
2712.0	J30
2716.0	J30
2720.0	J30
2724.0	J30
2728.0	J30
2732.0	J30
2736.0	J30
2740.0	J30
2744.0	J30
2748.0	J30
2752.0	J30
2756.0	J30
2760.0	J30
2764.0	J30
2768.0	J30
2772.0	J30
2776.0	J30
2780.0	J30
2784.0	J30
2788.0	J30
2792.0	J30
2796.0	J30
2800.0	J30
2804.0	J30
2808.0	J30
2812.0	J30
2816.0	J30
2820.0	J30
2824.0	J30
2828.0	J30
2832.0	J30
2836.0	J30
2840.0	J30
2844.0	J30
2848.0	J30
2852.0	J30
2856.0	J30
2860.0	J30
2864.0	J30
2868.0	J30
2872.0	J30
2876.0	J30
2880.0	J30
2884.0	J30
2888.0	J30
2892.0	J30
2896.0	J30
2900.0	J30
2904.0	J30
2908.0	J30
2912.0	J30
2916.0	J30
2920.0	J30
2924.0	J30
2928.0	J30
2932.0	J30
2936.0	J30
2940.0	J30
2944.0	J30
2948.0	J30
2952.0	J30
2956.0	J30
2960.0	J30
2964.0	J30
2968.0	J30
2972.0	J30
2976.0	J30
2980.0	J30
2984.0	J30
2988.0	J30
2992.0	J30
2996.0	J30
3000.0	J30
3004.0	J30
3008.0	J30
3012.0	J30
3016.0	J30
3020.0	J30
3024.0	J30
3028.0	J30
3032.0	J30
3036.0	J30
3040.0	J30
3044.0	J30
3048.0	J30
3052.0	J30
3056.0	J30
3060.0	J30
3064.0	J30
3068.0	J30
3072.0	J30
3076.0	J30
3080.0	J30
3084.0	J30
3088.0	J30
3092.0	J30
3096.0	J30
3100.0	J30
3104.0	J30
3108.0	J30
3112.0	J30
3116.0	J30
3120.0	J30
3124.0	J30
3128.0	J30
3132.0	J30
3136.0	J30
3140.0	J30
3144.0	J30
3148.0	J30
3152.0	J30
3156.0	J30
3160.0	J30
3164.0	J30
3168.0	J30
3172.0	J30
3176.0	J30
3180.0	J30
3184.0	J30
3188.0	J30
3192.0	J30
3196.0	J30
3200.0	J30
3204.0	J30
3208.0	J30
3212.0	J30
3216.0	J30
3220.0	J30
3224.0	J30
3228.0	J30
3232.0	J30
3236.0	J30
3240.0	J30
3244.0	J30
3248.0	J30
3252.0	J30
3256.0	J30
3260.0	J30
3264.0	J30
3268.0	J30
3272.0	J30
3276.0	J30
3280.0	J30
3284.0	J30
3288.0	J30
3292.0	J30
3296.0	J30
3300.0	J30
3304.0	J30
3308.0	J30
3312.0	J30
3316.0	J30
3320.0	J30
